"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-stabu3_150",150," best"," insert"," random",1.771486,4449092,15,1.36024272549604
"N-stabu3_250",250," best"," exchange"," CW",0.963999,9672361,2,18.7218069437658
"N-stabu3_250",250," best"," exchange"," random",0.973766,7639096,2,35.8076151765731
"N-stabu3_250",250," best"," transpose"," CW",0.044332,9622214,10,19.1431991506107
"N-stabu3_250",250," best"," transpose"," random",0.044411,7552108,9,36.5385874239463
"N-stabu3_250",250," best"," insert"," CW",15.333797,11691151,16,1.75763414665914
"N-stabu3_250",250," best"," insert"," random",12.325675,11693543,13,1.73753383838999
"N-t59b11xx_150",150," best"," exchange"," CW",0.125651,2516375,2,22.3233165100091
"N-t59b11xx_150",150," best"," exchange"," random",0.118493,2232660,2,31.0811686808353
"N-t59b11xx_150",150," best"," transpose"," CW",0.004848,2503785,6,22.7119507338982
"N-t59b11xx_150",150," best"," transpose"," random",0.006072,2190795,5,32.3734777978423
"N-t59b11xx_150",150," best"," insert"," CW",1.78579,3163670,15,2.34230062817367
"N-t59b11xx_150",150," best"," insert"," random",1.323902,3160040,11,2.4543532280718
"N-t59b11xx_250",250," best"," exchange"," CW",0.943955,6721615,2,20.0940690045424
"N-t59b11xx_250",250," best"," exchange"," random",0.966151,5645755,2,32.8837921470867
"N-t59b11xx_250",250," best"," transpose"," CW",0.023562,6730745,5,19.9855324177268
"N-t59b11xx_250",250," best"," transpose"," random",0.036943,5591620,8,33.5273439682545
"N-t59b11xx_250",250," best"," insert"," CW",13.605016,8265140,14,1.74478804457014
"N-t59b11xx_250",250," best"," insert"," random",13.279364,8193175,13,2.60030123955202
"N-t59d11xx_150",150," best"," exchange"," CW",0.135255,1152686,2,21.1944784189754
"N-t59d11xx_150",150," best"," exchange"," random",0.127893,955831,2,34.652836506809
"N-t59d11xx_150",150," best"," transpose"," CW",0.005672,1160277,5,20.6755055900163
"N-t59d11xx_150",150," best"," transpose"," random",0.006611,944878,5,35.4016587167404
"N-t59d11xx_150",150," best"," insert"," CW",1.318833,1449224,10,0.921106695371632
"N-t59d11xx_150",150," best"," insert"," random",1.241997,1425932,10,2.51350758222653
"N-t59d11xx_250",250," best"," exchange"," CW",1.001165,3142787,2,18.1814537092503
"N-t59d11xx_250",250," best"," exchange"," random",1.105387,2692451,2,29.9053907315147
"N-t59d11xx_250",250," best"," transpose"," CW",0.044902,3150114,10,17.9907043874947
"N-t59d11xx_250",250," best"," transpose"," random",0.022007,2676664,5,30.3163856192662
"N-t59d11xx_250",250," best"," insert"," CW",12.97783,3781133,13,1.56291043841624
"N-t59d11xx_250",250," best"," insert"," random",13.281994,3769125,14,1.87552376660531
"N-t59f11xx_150",150," best"," exchange"," CW",0.130413,1214267,2,21.3421621485063
"N-t59f11xx_150",150," best"," exchange"," random",0.117211,1029699,2,33.2981156715572
"N-t59f11xx_150",150," best"," transpose"," CW",0.004029,1215566,5,21.2580154728829
"N-t59f11xx_150",150," best"," transpose"," random",0.008128,1017299,6,34.1013633834348
"N-t59f11xx_150",150," best"," insert"," CW",0.987149,1520288,8,1.51872117782026
"N-t59f11xx_150",150," best"," insert"," random",1.201926,1512787,10,2.00462126546495
"N-t59f11xx_250",250," best"," exchange"," CW",0.959696,3199482,2,19.8728476741583
"N-t59f11xx_250",250," best"," exchange"," random",0.983087,2832616,2,29.0605623933448
"N-t59f11xx_250",250," best"," transpose"," CW",0.031279,3217600,7,19.4191043038753
"N-t59f11xx_250",250," best"," transpose"," random",0.027864,2807380,6,29.6925674541937
"N-t59f11xx_250",250," best"," insert"," CW",15.176093,3932141,16,1.52429022145221
"N-t59f11xx_250",250," best"," insert"," random",11.317693,3910000,12,2.07878475514437
"N-t59n11xx_150",150," best"," exchange"," CW",0.127258,250598,2,21.432781540005
"N-t59n11xx_150",150," best"," exchange"," random",0.119925,206323,2,35.3138324554803
"N-t59n11xx_150",150," best"," transpose"," CW",0.003402,247734,4,22.3306997742664
"N-t59n11xx_150",150," best"," transpose"," random",0.006268,201789,5,36.7353273137698
"N-t59n11xx_150",150," best"," insert"," CW",1.435633,314057,12,1.53718334587409
"N-t59n11xx_150",150," best"," insert"," random",1.335397,313035,11,1.85759969902182
"N-t59n11xx_250",250," best"," exchange"," CW",0.951406,655611,2,20.5905223786591
"N-t59n11xx_250",250," best"," exchange"," random",0.961909,557411,2,32.4847869691185
"N-t59n11xx_250",250," best"," transpose"," CW",0.02577,654891,6,20.6777308359415
"N-t59n11xx_250",250," best"," transpose"," random",0.021529,551214,5,33.2353853160338
"N-t59n11xx_250",250," best"," insert"," CW",11.502515,808257,12,2.10160269764828
"N-t59n11xx_250",250," best"," insert"," random",14.637348,807596,15,2.18166490634781
"N-t65b11xx_150",150," best"," exchange"," CW",0.133429,5252293,2,18.6175012814085
"N-t65b11xx_150",150," best"," exchange"," random",0.118184,4422715,2,31.4715310398343
"N-t65b11xx_150",150," best"," transpose"," CW",0.004874,5269515,6,18.3506522322538
"N-t65b11xx_150",150," best"," transpose"," random",0.008901,4321260,6,33.0435418563471
"N-t65b11xx_150",150," best"," insert"," CW",1.531719,6338300,12,1.79019113593838
"N-t65b11xx_150",150," best"," insert"," random",1.290922,6238015,11,3.344073199257
"N-t65b11xx_250",250," best"," exchange"," CW",0.98453,14251532,2,17.4971905747807
"N-t65b11xx_250",250," best"," exchange"," random",0.954065,11100077,2,35.7411162998996
"N-t65b11xx_250",250," best"," transpose"," CW",0.031677,14276221,7,17.3542647572687
"N-t65b11xx_250",250," best"," transpose"," random",0.035302,10983195,8,36.4177518623948
"N-t65b11xx_250",250," best"," insert"," CW",16.22021,16964217,17,1.79332564393323
"N-t65b11xx_250",250," best"," insert"," random",14.889431,16880928,15,2.27548970139856
"N-t65d11xx_150",150," best"," exchange"," CW",0.142194,2868238,2,19.41673571023
"N-t65d11xx_150",150," best"," exchange"," random",0.116376,2424002,2,31.8975643566081
"N-t65d11xx_150",150," best"," transpose"," CW",0.005758,2880856,7,19.0622324825312
"N-t65d11xx_150",150," best"," transpose"," random",0.010321,2385962,8,32.9662997173358
"N-t65d11xx_150",150," best"," insert"," CW",1.156421,3473599,10,2.40909357811981
"N-t65d11xx_150",150," best"," insert"," random",1.661821,3477555,14,2.29794959581069
"N-t65d11xx_250",250," best"," exchange"," CW",1.014165,7680719,2,17.868170650543
"N-t65d11xx_250",250," best"," exchange"," random",1.045674,6325434,2,32.3605686070206
"N-t65d11xx_250",250," best"," transpose"," CW",0.039876,7696124,8,17.7034411725959
"N-t65d11xx_250",250," best"," transpose"," random",0.039756,6291686,8,32.7214443241098
"N-t65d11xx_250",250," best"," insert"," CW",12.462521,9142349,13,2.23859928723089
"N-t65d11xx_250",250," best"," insert"," random",16.639529,9150164,18,2.15503155791206
"N-t65f11xx_150",150," best"," exchange"," CW",0.116962,2489633,2,21.1973376599946
"N-t65f11xx_150",150," best"," exchange"," random",0.119153,2168920,2,31.3486484142504
"N-t65f11xx_150",150," best"," transpose"," CW",0.005305,2503246,6,20.766454617219
"N-t65f11xx_150",150," best"," transpose"," random",0.008511,2143139,7,32.1646768962747
"N-t65f11xx_150",150," best"," insert"," CW",1.516704,3096544,13,1.98719600319815
"N-t65f11xx_150",150," best"," insert"," random",1.621006,3075505,14,2.65312918008461
"N-t65f11xx_250",250," best"," exchange"," CW",0.907211,6735037,2,19.9122023761747
"N-t65f11xx_250",250," best"," exchange"," random",0.924779,5773757,2,31.3429930458964
"N-t65f11xx_250",250," best"," transpose"," CW",0.038905,6790423,10,19.2535953396887
"N-t65f11xx_250",250," best"," transpose"," random",0.036379,5792510,9,31.1199970224388
"N-t65f11xx_250",250," best"," insert"," CW",14.432063,8244965,15,1.95731837322897
"N-t65f11xx_250",250," best"," insert"," random",12.48867,8229953,13,2.13582934769412
"N-t65l11xx_150",150," best"," exchange"," CW",0.115461,211997,2,16.3376691029061
"N-t65l11xx_150",150," best"," exchange"," random",0.112697,141356,2,44.2153783011571
"N-t65l11xx_150",150," best"," transpose"," CW",0.002597,209910,3,17.1612811567665
"N-t65l11xx_150",150," best"," transpose"," random",0.004558,128191,4,49.4108036433093
"N-t65l11xx_150",150," best"," insert"," CW",1.161432,248257,10,2.02805095581619
"N-t65l11xx_150",150," best"," insert"," random",1.129392,249678,10,1.46726862302483
"N-t65l11xx_250",250," best"," exchange"," CW",0.929354,550042,2,17.4425969675229
"N-t65l11xx_250",250," best"," exchange"," random",0.927105,413578,2,37.9248754979332
"N-t65l11xx_250",250," best"," transpose"," CW",0.016198,541550,4,18.7171859380957
"N-t65l11xx_250",250," best"," transpose"," random",0.012932,395635,3,40.6179925373806
"N-t65l11xx_250",250," best"," insert"," CW",12.180851,652074,12,2.12831742848823
"N-t65l11xx_250",250," best"," insert"," random",11.234986,653964,12,1.84464183329481
"N-t65n11xx_150",150," best"," exchange"," CW",0.133699,417675,2,24.1601647259198
"N-t65n11xx_150",150," best"," exchange"," random",0.118411,348925,2,36.6435278074857
"N-t65n11xx_150",150," best"," transpose"," CW",0.005866,424213,7,22.9730195938867
"N-t65n11xx_150",150," best"," transpose"," random",0.006461,342935,6,37.7311691872468
"N-t65n11xx_150",150," best"," insert"," CW",1.222897,539751,10,1.99406972162554
"N-t65n11xx_150",150," best"," insert"," random",1.303141,540541,11,1.85062453130646
"N-t65n11xx_250",250," best"," exchange"," CW",0.983793,1140057,2,20.2401491014872
"N-t65n11xx_250",250," best"," exchange"," random",0.971587,958832,2,32.9188826903192
"N-t65n11xx_250",250," best"," transpose"," CW",0.035786,1142838,8,20.0455867722802
"N-t65n11xx_250",250," best"," transpose"," random",0.026317,952838,6,33.3382306231731
"N-t65n11xx_250",250," best"," insert"," CW",12.29039,1383756,13,3.19065429191485
"N-t65n11xx_250",250," best"," insert"," random",13.623644,1387205,14,2.94935782537944
"N-t69r11xx_150",150," best"," exchange"," CW",0.128923,8828896,2,25.5319836264588
"N-t69r11xx_150",150," best"," exchange"," random",0.119739,7777704,2,34.3983450682218
"N-t69r11xx_150",150," best"," transpose"," CW",0.00591,8789899,6,25.8609068841933
"N-t69r11xx_150",150," best"," transpose"," random",0.007597,7600701,6,35.8912907663211
"N-t69r11xx_150",150," best"," insert"," CW",1.451002,11514982,12,2.87598040377508
"N-t69r11xx_150",150," best"," insert"," random",1.692821,11651550,14,1.72408688729219
"N-t69r11xx_250",250," best"," exchange"," CW",0.985472,24651729,2,22.5176465862522
"N-t69r11xx_250",250," best"," exchange"," random",1.026478,21216749,2,33.3140631105924
"N-t69r11xx_250",250," best"," transpose"," CW",0.026086,25031531,6,21.3238985618744
"N-t69r11xx_250",250," best"," transpose"," random",0.034206,21060290,7,33.8058262454525
"N-t69r11xx_250",250," best"," insert"," CW",10.55592,30995639,11,2.57823070816073
"N-t69r11xx_250",250," best"," insert"," random",25.920302,31117730,27,2.19448894259784
"N-t70b11xx_150",150," best"," exchange"," CW",0.130827,7728537,2,19.888529649291
"N-t70b11xx_150",150," best"," exchange"," random",0.118376,6233146,2,35.3892604809111
"N-t70b11xx_150",150," best"," transpose"," CW",0.008989,7739769,9,19.7721024348028
"N-t70b11xx_150",150," best"," transpose"," random",0.007805,6051685,6,37.2702254709617
"N-t70b11xx_150",150," best"," insert"," CW",1.222539,9452208,10,2.02152348617411
"N-t70b11xx_150",150," best"," insert"," random",1.317968,9479197,11,1.74176439680244
"N-t70b11xx_250",250," best"," exchange"," CW",0.961078,20829890,2,18.0023890836709
"N-t70b11xx_250",250," best"," exchange"," random",0.954902,16992752,2,33.1074207836108
"N-t70b11xx_250",250," best"," transpose"," CW",0.038767,20830150,9,18.0013655843227
"N-t70b11xx_250",250," best"," transpose"," random",0.034488,16816083,8,33.8028846541822
"N-t70b11xx_250",250," best"," insert"," CW",16.19508,24992029,17,1.61797926193494
"N-t70b11xx_250",250," best"," insert"," random",16.666991,24632759,18,3.03225853436074
"N-t70d11xn_150",150," best"," exchange"," CW",0.143921,4644900,2,20.2612397592713
"N-t70d11xn_150",150," best"," exchange"," random",0.120884,3660901,2,37.1535001605968
"N-t70d11xn_150",150," best"," transpose"," CW",0.008468,4698008,8,19.3495374451495
"N-t70d11xn_150",150," best"," transpose"," random",0.006646,3608392,6,38.0549194724185
"N-t70d11xn_150",150," best"," insert"," CW",1.417369,5689323,12,2.33168364678179
"N-t70d11xn_150",150," best"," insert"," random",1.673504,5703947,14,2.08063418828744
"N-t70d11xn_250",250," best"," exchange"," CW",0.957354,12456064,2,18.0902716060294
"N-t70d11xn_250",250," best"," exchange"," random",0.970861,10664819,2,29.8693048092192
"N-t70d11xn_250",250," best"," transpose"," CW",0.042531,12495909,10,17.828255199574
"N-t70d11xn_250",250," best"," transpose"," random",0.046556,10647818,10,29.981101544723
"N-t70d11xn_250",250," best"," insert"," CW",11.334503,14921564,12,1.87741051641596
"N-t70d11xn_250",250," best"," insert"," random",14.39174,14884758,15,2.11944278786772
"N-t70d11xx_150",150," best"," exchange"," CW",0.13055,4963660,2,19.6061402829656
"N-t70d11xx_150",150," best"," exchange"," random",0.123774,4155209,2,32.7002072178677
"N-t70d11xx_150",150," best"," transpose"," CW",0.008534,4978394,8,19.3675012285036
"N-t70d11xx_150",150," best"," transpose"," random",0.009016,4283429,8,30.6234935241582
"N-t70d11xx_150",150," best"," insert"," CW",1.082329,6048307,9,2.03866814335447
"N-t70d11xx_150",150," best"," insert"," random",1.433311,6014249,12,2.59028813228255
"N-t70d11xx_250",250," best"," exchange"," CW",0.952926,12964319,2,19.1779608385585
"N-t70d11xx_250",250," best"," exchange"," random",1.030004,11112912,2,30.7199854568795
"N-t70d11xx_250",250," best"," transpose"," CW",0.035924,13084902,8,18.4262234007337
"N-t70d11xx_250",250," best"," transpose"," random",0.055005,11072864,12,30.9696523328903
"N-t70d11xx_250",250," best"," insert"," CW",16.978197,15709771,18,2.06228904277366
"N-t70d11xx_250",250," best"," insert"," random",13.31507,15710633,14,2.05691517024266
"N-t70f11xx_150",150," best"," exchange"," CW",0.129386,4064687,2,21.0755253735998
"N-t70f11xx_150",150," best"," exchange"," random",0.11927,3294713,2,36.0261952347694
"N-t70f11xx_150",150," best"," transpose"," CW",0.004611,4089072,5,20.6020391460588
"N-t70f11xx_150",150," best"," transpose"," random",0.007571,3241715,6,37.0552632309644
"N-t70f11xx_150",150," best"," insert"," CW",1.45831,5032739,12,2.27875319629902
"N-t70f11xx_150",150," best"," insert"," random",1.407954,5032488,12,2.28362689091099
"N-t70f11xx_250",250," best"," exchange"," CW",0.980177,11062075,2,18.5782049125818
"N-t70f11xx_250",250," best"," exchange"," random",0.96471,9479137,2,30.2293330663945
"N-t70f11xx_250",250," best"," transpose"," CW",0.031744,11115805,7,18.1827282004779
"N-t70f11xx_250",250," best"," transpose"," random",0.036603,9423977,8,30.6353352149084
"N-t70f11xx_250",250," best"," insert"," CW",14.175138,13350655,15,1.73323759847815
"N-t70f11xx_250",250," best"," insert"," random",17.024813,13218998,18,2.70229171136604
"N-t70l11xx_150",150," best"," exchange"," CW",0.140052,344555,2,21.1295557864955
"N-t70l11xx_150",150," best"," exchange"," random",0.206855,282608,2,35.30954855309
"N-t70l11xx_150",150," best"," transpose"," CW",0.004267,340538,5,22.0490681267769
"N-t70l11xx_150",150," best"," transpose"," random",0.004489,271234,5,37.913116727937
"N-t70l11xx_150",150," best"," insert"," CW",1.307214,425013,11,2.71229816280656
"N-t70l11xx_150",150," best"," insert"," random",1.273145,422666,10,3.24953875594581
"N-t70l11xx_250",250," best"," exchange"," CW",0.945143,853245,2,23.3470903615757
"N-t70l11xx_250",250," best"," exchange"," random",0.985446,674415,2,39.4126281972963
"N-t70l11xx_250",250," best"," transpose"," CW",0.015162,850399,3,23.6027662586872
"N-t70l11xx_250",250," best"," transpose"," random",0.019682,670363,4,39.7766474295858
"N-t70l11xx_250",250," best"," insert"," CW",12.126706,1076788,12,3.26467396382087
"N-t70l11xx_250",250," best"," insert"," random",11.61947,1086337,12,2.40682113826981
"N-t70n11xx_150",150," best"," exchange"," CW",0.130738,720671,2,24.0529953747077
"N-t70n11xx_150",150," best"," exchange"," random",0.119188,601701,2,36.5904988128522
"N-t70n11xx_150",150," best"," transpose"," CW",0.005654,724885,6,23.6089082982318
"N-t70n11xx_150",150," best"," transpose"," random",0.010924,593115,9,37.4953235965784
"N-t70n11xx_150",150," best"," insert"," CW",1.457805,921384,12,2.90110895308632
"N-t70n11xx_150",150," best"," insert"," random",1.637677,927820,14,2.22285920837843
"N-t70n11xx_250",250," best"," exchange"," CW",0.977563,1935038,2,20.8375913827172
"N-t70n11xx_250",250," best"," exchange"," random",0.967317,1652511,2,32.3957715421843
"N-t70n11xx_250",250," best"," transpose"," CW",0.02526,1942073,6,20.5497895180393
"N-t70n11xx_250",250," best"," transpose"," random",0.026916,1650484,6,32.4786961164135
"N-t70n11xx_250",250," best"," insert"," CW",13.294908,2400127,14,1.81079942235077
"N-t70n11xx_250",250," best"," insert"," random",15.239209,2389122,16,2.26101399531171
"N-t74d11xx_150",150," best"," exchange"," CW",0.137094,7505253,2,20.1232667705685
"N-t74d11xx_150",150," best"," exchange"," random",0.133934,6292798,2,33.0271548323954
"N-t74d11xx_150",150," best"," transpose"," CW",0.012824,7609206,12,19.0169181838655
"N-t74d11xx_150",150," best"," transpose"," random",0.006323,6301767,6,32.9316997664123
"N-t74d11xx_150",150," best"," insert"," CW",1.334089,9189696,11,2.1961157270017
"N-t74d11xx_150",150," best"," insert"," random",1.551884,9142963,13,2.6934846196974
"N-t74d11xx_250",250," best"," exchange"," CW",0.955746,19898576,2,18.5494376848374
"N-t74d11xx_250",250," best"," exchange"," random",0.947268,16927333,2,30.7115850226666
"N-t74d11xx_250",250," best"," transpose"," CW",0.03976,19960371,9,18.2964930772301
"N-t74d11xx_250",250," best"," transpose"," random",0.040718,16783671,9,31.2996346742256
"N-t74d11xx_250",250," best"," insert"," CW",11.393147,23898595,12,2.17621596176871
"N-t74d11xx_250",250," best"," insert"," random",13.091233,23943219,14,1.99355716785542
"N-t75d11xx_150",150," best"," exchange"," CW",0.129262,7708096,2,20.0582443316525
"N-t75d11xx_150",150," best"," exchange"," random",0.118942,6159194,2,36.1221264159201
"N-t75d11xx_150",150," best"," transpose"," CW",0.007784,7789504,8,19.2139504300912
