Generation,Time,Cost
104,101.096423,3469924
105,102.155469,3469924
106,103.043575,3469924
107,103.808711,3469924
108,104.499592,3470538
109,105.279862,3470238
110,106.047899,3471421
111,106.823953,3471421
112,107.963854,3471421
113,108.845971,3471421
114,109.486842,3471421
115,110.380494,3471421
116,111.044373,3471421
117,112.050909,3471421
118,112.971599,3471421
119,113.854105,3471421
120,114.618296,3471421
121,115.548729,3471421
122,116.318589,3471421
123,117.092730,3471421
124,117.771329,3471421
125,118.884291,3471421
126,119.888175,3471421
127,120.571428,3471421
128,121.328631,3471421
129,122.467940,3471421
130,123.484192,3471421
131,124.248850,3471421
132,125.145533,3471421
133,126.080991,3471421
134,127.095176,3471421
135,128.028932,3471329
136,129.149956,3471329
137,130.048450,3471329
138,130.967762,3471329
139,131.979879,3471329
140,132.749566,3471217
141,133.557097,3471217
142,134.202870,3471217
143,134.965413,3471217
144,135.858601,3471217
145,137.233499,3471217
146,138.114768,3471217
147,139.039002,3471217
148,140.055647,3471217
149,140.708395,3471217
150,141.522926,3471217
151,142.411665,3471217
152,143.652980,3471217
153,144.566735,3471217
154,145.568100,3471217
155,146.472398,3471217
156,147.243571,3471217
157,148.261647,3471217
158,149.302471,3471217
159,150.075692,3471217
160,150.998294,3471217
161,151.804236,3471217
162,153.299153,3471217
163,154.071766,3471217
164,155.120658,3471217
165,156.118017,3471217
166,157.058358,3471217
167,157.824884,3471217
168,158.591286,3471217
169,159.473767,3471217
170,160.241403,3471217
171,161.253998,3471217
172,162.038221,3471217
173,163.043592,3471217
174,163.692307,3471217
175,164.450914,3471217
176,165.464421,3471217
177,166.341294,3471217
178,167.275962,3471217
179,168.049052,3471217
180,168.964818,3471217
181,169.733932,3471217
182,170.752170,3471217
183,171.643267,3471217
184,172.569733,3471217
185,173.569706,3471217
186,174.327940,3471217
187,175.106702,3471217
188,176.008686,3471217
189,176.690731,3471217
190,177.770496,3471217
191,178.673131,3471217
192,179.710099,3471217
193,180.636874,3471217
194,181.289245,3471217
195,181.947685,3471217
196,182.842045,3471217
197,183.744032,3471217
198,185.085173,3471217
199,185.986891,3471149
200,187.005240,3471149
201,188.150344,3471149
202,188.971040,3471149
203,190.081557,3471149
204,191.455242,3471149
205,192.693941,3471149
206,193.741596,3471149
207,194.866247,3471149
208,195.751778,3471149
209,196.666779,3471149
210,197.551921,3471149
211,198.588319,3471149
212,199.380484,3471149
213,200.272319,3471149
214,201.157359,3471421
215,202.072965,3471421
216,203.127546,3471421
217,204.077141,3471421
218,204.964354,3471421
219,205.732899,3471421
220,206.633851,3471421
221,207.393708,3471421
222,208.307503,3471421
223,209.219370,3471421
224,209.996364,3471421
225,211.002392,3471421
226,212.059920,3471421
227,212.958253,3471421
228,214.316973,3471421
229,215.361021,3471421
230,216.242687,3471421
231,217.037163,3471421
232,217.807495,3471421
233,218.861134,3471421
234,219.948832,3471421
235,220.896775,3471421
236,221.547339,3471337
237,222.382303,3471337
238,223.391976,3471337
239,224.270839,3471337
240,225.070559,3471337
241,226.185352,3471337
242,227.431879,3471337
243,228.344856,3471337
244,229.344251,3471337
245,230.280132,3471337
246,231.285506,3471337
247,232.182168,3471337
248,233.460645,3471337
249,234.466862,3471337
250,235.237233,3471337
251,236.370381,3471337
252,237.144778,3471337
253,237.912397,3471337
254,238.831722,3471337
255,239.832651,3471337
256,241.089390,3471337
257,241.978958,3471337
258,242.752603,3471337
259,243.572660,3471337
260,244.218439,3471337
261,245.099817,3471337
262,245.752157,3471337
263,246.658489,3471337
264,247.538407,3471337
265,248.311847,3471337
266,249.172271,3471337
267,249.933767,3471337
268,251.030733,3471337
