"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"ILS",100.180938,3449828,169,0.94750587740767
"N-be75np_150",150,"ILS",100.485105,7127947,162,0.646444090559042
"N-be75oi_150",150,"ILS",100.349092,2234604,171,0.531040260240887
"N-be75tot_150",150,"ILS",100.215972,12178500,166,0.888750032858043
"N-stabu1_150",150,"ILS",100.536942,2856441,173,0.670820507613366
"N-stabu2_150",150,"ILS",100.227508,4300455,162,0.625829282146107
"N-stabu3_150",150,"ILS",100.276903,4490357,165,0.445366255435994
"N-t59b11xx_150",150,"ILS",100.423123,3201890,177,1.16250713833711
"N-t59d11xx_150",150,"ILS",100.059276,1449452,169,0.905519051450847
"N-t59f11xx_150",150,"ILS",100.128536,1525274,168,1.19573786399591
"N-t59n11xx_150",150,"ILS",100.228932,316077,173,0.903875094055681
"N-t65b11xx_150",150,"ILS",100.224918,6378894,162,1.16120087340304
"N-t65d11xx_150",150,"ILS",100.026563,3542897,160,0.462163424920358
"N-t65f11xx_150",150,"ILS",100.098684,3120497,164,1.22902796355932
"N-t65l11xx_150",150,"ILS",100.009273,252518,189,0.346493235883755
"N-t65n11xx_150",150,"ILS",100.598913,547638,167,0.561978308908309
"N-t69r11xx_150",150,"ILS",100.379161,11809228,174,0.394139418690537
"N-t70b11xx_150",150,"ILS",100.158501,9591077,164,0.582053147074668
"N-t70d11xn_150",150,"ILS",100.328409,5781821,166,0.743775221466514
"N-t70d11xx_150",150,"ILS",100.58526,6126715,174,0.768733910813715
"N-t70f11xx_150",150,"ILS",100.491776,5081704,174,1.32799440476558
"N-t70l11xx_150",150,"ILS",100.446661,435605,175,0.287733883926732
"N-t70n11xx_150",150,"ILS",100.411181,940983,175,0.835693050890862
"N-t74d11xx_150",150,"ILS",100.452601,9360244,167,0.381011412888233
"N-t75d11xx_150",150,"ILS",100.051461,9603003,169,0.405895371774316
"N-t75e11xx_150",150,"ILS",100.022536,41230185,171,0.817912969516403
"N-t75k11xx_150",150,"ILS",100.539403,1534118,164,0.485081694555513
"N-t75n11xx_150",150,"ILS",100.164186,1731210,160,0.681776197956048
"N-tiw56n54_150",150,"ILS",100.018263,834023,167,0.468049812338519
"N-tiw56n58_150",150,"ILS",100.55789,1139892,160,1.34153603279233
"N-tiw56n62_150",150,"ILS",100.769158,1616264,112,0.655041025347881
"N-tiw56n66_150",150,"ILS",100.086866,2094385,117,0.627912350382114
"N-tiw56n67_150",150,"ILS",100.978896,2343620,116,1.23501533549719
"N-tiw56n72_150",150,"ILS",100.43073,4108932,114,0.65221485879639
"N-tiw56r54_150",150,"ILS",100.478804,949614,128,0.895227678795064
"N-tiw56r58_150",150,"ILS",100.053348,1209777,123,0.780615027536404
"N-tiw56r66_150",150,"ILS",100.376718,1921709,147,0.981370652143109
"N-tiw56r67_150",150,"ILS",100.32271,2038215,167,0.88175779671427
"N-tiw56r72_150",150,"ILS",100.540064,2808043,156,0.556527861098579
