"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-stabu2_250",250,"best","transpose","random",0.029554,8062091,6,29.8975918155536
"N-stabu2_250",250,"best","insert","CW",19.277804,11231471,18,2.33883932173773
"N-stabu2_250",250,"best","insert","random",14.235154,11226065,13,2.38584618616597
"N-stabu3_150",150,"best","exchange","CW",0.826987,4328776,11,4.02774005669064
"N-stabu3_150",150,"best","exchange","random",1.218347,4370752,14,3.09710017525987
"N-stabu3_150",150,"best","transpose","CW",0.005803,3647263,5,19.137402185372
"N-stabu3_150",150,"best","transpose","random",0.007618,2651712,7,41.2095258893524
"N-stabu3_150",150,"best","insert","CW",1.735185,4439835,13,1.56547746397528
"N-stabu3_150",150,"best","insert","random",2.349995,4449092,15,1.36024272549604
"N-stabu3_250",250,"best","exchange","CW",5.625862,11507403,11,3.30169411481965
"N-stabu3_250",250,"best","exchange","random",6.01252,11409728,12,4.12247070770816
"N-stabu3_250",250,"best","transpose","CW",0.045241,9622214,10,19.1431991506107
"N-stabu3_250",250,"best","transpose","random",0.042468,7552108,9,36.5385874239463
"N-stabu3_250",250,"best","insert","CW",16.052601,11691151,16,1.75763414665914
"N-stabu3_250",250,"best","insert","random",12.356145,11693543,13,1.73753383838999
"N-t59b11xx_150",150,"best","exchange","CW",0.887767,3147875,14,2.82986834591224
"N-t59b11xx_150",150,"best","exchange","random",0.741521,3138640,12,3.11493880322884
"N-t59b11xx_150",150,"best","transpose","CW",0.004844,2503785,6,22.7119507338982
"N-t59b11xx_150",150,"best","transpose","random",0.006096,2190795,5,32.3734777978423
"N-t59b11xx_150",150,"best","insert","CW",1.789049,3163670,15,2.34230062817367
"N-t59b11xx_150",150,"best","insert","random",1.274693,3160040,11,2.4543532280718
"N-t59b11xx_250",250,"best","exchange","CW",5.338327,8079025,11,3.95730577241078
"N-t59b11xx_250",250,"best","exchange","random",5.29946,8110970,11,3.5775465976217
"N-t59b11xx_250",250,"best","transpose","CW",0.036318,6730745,5,19.9855324177268
"N-t59b11xx_250",250,"best","transpose","random",0.046484,5591620,8,33.5273439682545
"N-t59b11xx_250",250,"best","insert","CW",12.847296,8265140,14,1.74478804457014
"N-t59b11xx_250",250,"best","insert","random",12.167134,8193175,13,2.60030123955202
"N-t59d11xx_150",150,"best","exchange","CW",0.555303,1414375,9,3.30362337517613
"N-t59d11xx_150",150,"best","exchange","random",0.66085,1395094,10,4.62180478937196
"N-t59d11xx_150",150,"best","transpose","CW",0.004599,1160277,5,20.6755055900163
"N-t59d11xx_150",150,"best","transpose","random",0.005162,944878,5,35.4016587167404
"N-t59d11xx_150",150,"best","insert","CW",1.172888,1449224,10,0.921106695371632
"N-t59d11xx_150",150,"best","insert","random",1.220562,1425932,10,2.51350758222653
"N-t59d11xx_250",250,"best","exchange","CW",5.971579,3716122,13,3.25539087470032
"N-t59d11xx_250",250,"best","exchange","random",5.155266,3711659,11,3.37157952257738
"N-t59d11xx_250",250,"best","transpose","CW",0.042994,3150114,10,17.9907043874947
"N-t59d11xx_250",250,"best","transpose","random",0.023544,2676664,5,30.3163856192662
"N-t59d11xx_250",250,"best","insert","CW",12.186102,3781133,13,1.56291043841624
"N-t59d11xx_250",250,"best","insert","random",13.219954,3769125,14,1.87552376660531
"N-t59f11xx_150",150,"best","exchange","CW",0.606337,1482592,10,3.96059422192827
"N-t59f11xx_150",150,"best","exchange","random",0.611172,1482269,10,3.98151752926186
"N-t59f11xx_150",150,"best","transpose","CW",0.004257,1215566,5,21.2580154728829
"N-t59f11xx_150",150,"best","transpose","random",0.00622,1017299,6,34.1013633834348
"N-t59f11xx_150",150,"best","insert","CW",0.974637,1520288,8,1.51872117782026
"N-t59f11xx_150",150,"best","insert","random",1.170698,1512787,10,2.00462126546495
"N-t59f11xx_250",250,"best","exchange","CW",5.294529,3838102,11,3.87938310135272
