"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-stabu2_250",250,"first","transpose","random",0.027657,8062091,6,29.8975918155536
"N-stabu2_250",250,"first","insert","CW",17.25865,11231471,18,2.33883932173773
"N-stabu2_250",250,"first","insert","random",12.478369,11226065,13,2.38584618616597
"N-stabu3_150",150,"first","exchange","CW",0.594262,4403193,10,2.37785850398353
"N-stabu3_150",150,"first","exchange","random",0.659262,4378473,11,2.92591972632412
"N-stabu3_150",150,"first","transpose","CW",0.003957,3647263,5,19.137402185372
"N-stabu3_150",150,"first","transpose","random",0.010395,2651712,7,41.2095258893524
"N-stabu3_150",150,"first","insert","CW",1.630593,4439835,13,1.56547746397528
"N-stabu3_150",150,"first","insert","random",1.85825,4449092,15,1.36024272549604
"N-stabu3_250",250,"first","exchange","CW",6.532392,11535287,14,3.06738098949482
"N-stabu3_250",250,"first","exchange","random",5.06579,11513347,11,3.25174585714748
"N-stabu3_250",250,"first","transpose","CW",0.040758,9622214,10,19.1431991506107
"N-stabu3_250",250,"first","transpose","random",0.036921,7552108,9,36.5385874239463
"N-stabu3_250",250,"first","insert","CW",14.75621,11691151,16,1.75763414665914
"N-stabu3_250",250,"first","insert","random",12.008424,11693543,13,1.73753383838999
"N-t59b11xx_150",150,"first","exchange","CW",0.648429,3126585,11,3.48705838773904
"N-t59b11xx_150",150,"first","exchange","random",0.498198,3077140,8,5.01335061968483
"N-t59b11xx_150",150,"first","transpose","CW",0.00499,2503785,6,22.7119507338982
"N-t59b11xx_150",150,"first","transpose","random",0.00551,2190795,5,32.3734777978423
"N-t59b11xx_150",150,"first","insert","CW",1.8189,3163670,15,2.34230062817367
"N-t59b11xx_150",150,"first","insert","random",1.341075,3160040,11,2.4543532280718
"N-t59b11xx_250",250,"first","exchange","CW",5.757222,8086945,12,3.86315355252255
"N-t59b11xx_250",250,"first","exchange","random",6.220004,8040920,13,4.41029445155738
"N-t59b11xx_250",250,"first","transpose","CW",0.023308,6730745,5,19.9855324177268
"N-t59b11xx_250",250,"first","transpose","random",0.035176,5591620,8,33.5273439682545
"N-t59b11xx_250",250,"first","insert","CW",13.519273,8265140,14,1.74478804457014
"N-t59b11xx_250",250,"first","insert","random",12.601176,8193175,13,2.60030123955202
"N-t59d11xx_150",150,"first","exchange","CW",0.532138,1405299,9,3.92412099019824
"N-t59d11xx_150",150,"first","exchange","random",0.555331,1388164,9,5.09558712433265
"N-t59d11xx_150",150,"first","transpose","CW",0.00423,1160277,5,20.6755055900163
"N-t59d11xx_150",150,"first","transpose","random",0.004011,944878,5,35.4016587167404
"N-t59d11xx_150",150,"first","insert","CW",1.226212,1449224,10,0.921106695371632
"N-t59d11xx_150",150,"first","insert","random",1.236473,1425932,10,2.51350758222653
"N-t59d11xx_250",250,"first","exchange","CW",4.794152,3701946,10,3.6244453833952
"N-t59d11xx_250",250,"first","exchange","random",4.719147,3707928,10,3.46871146190728
