"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"memetic",103.979681,3448234,10,0.993273282516392
"N-be75np_150",150,"memetic",102.858619,7119492,10,0.764294898823234
"N-be75oi_150",150,"memetic",104.354408,2226942,10,0.87209897557749
"N-be75tot_150",150,"memetic",105.330085,12146081,10,1.15258282118869
"N-stabu1_150",150,"memetic",105.379435,2848973,10,0.930510909917892
"N-stabu2_150",150,"memetic",103.588183,4301614,10,0.599047310503108
"N-stabu3_150",150,"memetic",102.87178,4480036,10,0.674190684067758
"N-t59b11xx_150",150,"memetic",103.079252,3199465,10,1.23736321402664
"N-t59d11xx_150",150,"memetic",102.082492,1453674,10,0.616874171479124
"N-t59f11xx_150",150,"memetic",102.85806,1531961,10,0.762567101953511
"N-t59n11xx_150",150,"memetic",102.077748,317113,10,0.579069475796338
"N-t65b11xx_150",150,"memetic",103.68428,6398523,10,0.857056175583017
"N-t65d11xx_150",150,"memetic",102.269609,3536077,10,0.653771604735363
"N-t65f11xx_150",150,"memetic",104.039958,3126819,10,1.02892199158935
"N-t65l11xx_150",150,"memetic",105.463191,252138,12,0.496456139796998
"N-t65n11xx_150",150,"memetic",103.123204,543848,10,1.25015207005936
"N-t69r11xx_150",150,"memetic",103.215179,11760354,10,0.806371008261923
"N-t70b11xx_150",150,"memetic",100.709107,9581843,10,0.677769751293351
"N-t70d11xn_150",150,"memetic",103.228674,5773560,10,0.885591385075776
"N-t70d11xx_150",150,"memetic",100.167969,6108709,9,1.06036787407166
"N-t70f11xx_150",150,"memetic",101.887254,5099326,10,0.985826092207584
"N-t70l11xx_150",150,"memetic",106.115395,433077,11,0.866406325109531
"N-t70n11xx_150",150,"memetic",104.784285,942236,10,0.703647225825761
"N-t74d11xx_150",150,"memetic",102.359026,9294397,10,1.08180634318017
"N-t75d11xx_150",150,"memetic",102.012728,9575019,10,0.696121400436003
"N-t75e11xx_150",150,"memetic",102.113489,41202414,10,0.884718047857031
"N-t75k11xx_150",150,"memetic",104.212455,1527949,10,0.885251388820417
"N-t75n11xx_150",150,"memetic",106.323199,1723918,10,1.10011278795062
"N-tiw56n54_150",150,"memetic",103.515348,829393,10,1.02059204363055
"N-tiw56n58_150",150,"memetic",101.260401,1146141,10,0.800680634797541
"N-tiw56n62_150",150,"memetic",103.28801,1613883,10,0.801391093974446
"N-tiw56n66_150",150,"memetic",103.39306,2089613,10,0.854328984508111
"N-tiw56n67_150",150,"memetic",105.543769,2355229,10,0.745788111386533
"N-tiw56n72_150",150,"memetic",106.329163,4098113,10,0.913801978622827
"N-tiw56r54_150",150,"memetic",101.285342,951586,10,0.689423414096549
"N-tiw56r58_150",150,"memetic",102.404842,1208987,10,0.845406566909567
"N-tiw56r66_150",150,"memetic",102.997316,1926164,10,0.751820812003576
"N-tiw56r67_150",150,"memetic",101.65842,2037752,10,0.904273451902816
"N-tiw56r72_150",150,"memetic",102.459277,2799477,10,0.859882468681806
