"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"memetic",110.227713,3439794,2,1.23560508873823
"N-be75np_150",150,"memetic",106.910453,7090042,2,1.17478647817042
"N-be75oi_150",150,"memetic",111.357628,2223904,2,1.0073295129297
"N-be75tot_150",150,"memetic",109.2003,12141210,2,1.19222406588959
"N-stabu1_150",150,"memetic",107.112053,2849668,2,0.906343150196194
"N-stabu2_150",150,"memetic",118.467814,4292289,1,0.814527798484958
"N-stabu3_150",150,"memetic",113.371262,4464671,1,1.0148444333098
"N-t59b11xx_150",150,"memetic",106.575256,3195955,2,1.34571159574632
"N-t59d11xx_150",150,"memetic",107.218169,1449877,2,0.87646313624763
"N-t59f11xx_150",150,"memetic",108.823367,1525718,2,1.16697641366739
"N-t59n11xx_150",150,"memetic",113.597225,315946,2,0.944946074742914
"N-t65b11xx_150",150,"memetic",111.278303,6378897,2,1.16115438942049
"N-t65d11xx_150",150,"memetic",107.335476,3517428,2,1.1777160248776
"N-t65f11xx_150",150,"memetic",105.780499,3118204,2,1.30160673510742
"N-t65l11xx_150",150,"memetic",110.67843,251550,3,0.728504001641699
"N-t65n11xx_150",150,"memetic",105.149279,545077,2,1.02699493220853
"N-t69r11xx_150",150,"memetic",105.048794,11731857,2,1.04673119175449
"N-t70b11xx_150",150,"memetic",104.265957,9532047,2,1.19393869472778
"N-t70d11xn_150",150,"memetic",107.892086,5758118,2,1.15068340764619
"N-t70d11xx_150",150,"memetic",108.674231,6093452,2,1.30747769176723
"N-t70f11xx_150",150,"memetic",102.937783,5074977,2,1.45861330378826
"N-t70l11xx_150",150,"memetic",100.99916,431349,2,1.26195457604461
"N-t70n11xx_150",150,"memetic",110.445411,936823,2,1.27408940545656
"N-t74d11xx_150",150,"memetic",104.734395,9295625,2,1.06873701315149
"N-t75d11xx_150",150,"memetic",107.974591,9528222,2,1.18145971744862
"N-t75e11xx_150",150,"memetic",113.091051,41221474,2,0.838867887863787
"N-t75k11xx_150",150,"memetic",111.414856,1524347,2,1.11890534225569
"N-t75n11xx_150",150,"memetic",112.710074,1718791,2,1.39424494605569
"N-tiw56n54_150",150,"memetic",105.723312,827819,2,1.20843253435488
"N-tiw56n58_150",150,"memetic",105.255242,1140196,2,1.31522461640725
"N-tiw56n62_150",150,"memetic",108.907676,1609157,2,1.09187846244532
"N-tiw56n66_150",150,"memetic",104.330883,2079010,2,1.35740852592428
"N-tiw56n67_150",150,"memetic",110.595881,2346418,2,1.11710183966967
"N-tiw56n72_150",150,"memetic",111.134551,4084979,2,1.23136231061288
"N-tiw56r54_150",150,"memetic",110.502347,945778,2,1.29556498071368
"N-tiw56r58_150",150,"memetic",107.917233,1204604,2,1.20487658852042
"N-tiw56r66_150",150,"memetic",104.197124,1920674,2,1.03470041298361
"N-tiw56r67_150",150,"memetic",109.007172,2036601,2,0.960246495362894
"N-tiw56r72_150",150,"memetic",109.347698,2799477,2,0.859882468681806
