"algorithm","average_relative_deviation","average_time","size"
"Best exchange random",3.71387108515836,0.755803333333333,150
"Best exchange random",3.54343811211285,6.51718905128205,250
"Best exchange CW",3.55501435527758,0.694636512820513,150
"Best exchange CW",3.32818004466466,6.39159082051282,250
"Best insert random",2.09057735351754,1.58662530769231,150
"Best insert random",2.22794974178459,15.2277525384615,250
"Best insert CW",1.98906946665642,1.42062305128205,150
"Best insert CW",1.93690020158525,15.1056682307692,250
"Best transpose random",35.992050033772,0.00776735897435897,150
"Best transpose random",33.2196330861268,0.0349086153846154,250
"Best transpose CW",20.0203944572352,0.00623092307692308,150
"Best transpose CW",18.6675425744629,0.0358063076923077,250
