"algorithm","size","average_relative_deviation","sd_relative_deviation","average_time","sd_time"
"Best exchange random",150,3.63532417647809,0.590154921622139,11.7554933589744,1.20196191937521
"Best exchange CW",150,3.52154970654561,0.630907930796477,10.8257003846154,1.09545836785083
"Best insert random",150,2.18757818687821,0.505224155772359,24.7568092820513,1.95040542193959
"Best insert CW",150,2.03739713799353,0.49863545103889,22.1863087692308,1.90740023933207
"Best transpose random",150,35.8643076069565,3.25957527630669,0.0971417948717949,0.0220379352089211
"Best transpose CW",150,19.9373813059793,2.07312445498751,0.106810102564103,0.0276751253121252
